country,population
India,1476625576
China,1412914089
United States,349035494
Indonesia,287886782
Pakistan,259299791
Nigeria,242431832
Brazil,213562666
Bangladesh,177818044
Russia,143394458
Ethiopia,138902185
Mexico,132997658
Japan,122427731
Egypt,120101175
Philippines,117724471
DR Congo,116452162
Vietnam,102177431
Iran,93168497
Turkey,87926082
Germany,83644258
Tanzania,72563780
Thailand,71559614
United Kingdom,69931528
France,66746401
South Africa,65453084
Italy,58926166
Kenya,58636412
Myanmar,55184819
Colombia,53936226
Sudan,53282719
Uganda,52761469
South Korea,51600388
Algeria,48028334
Iraq,48007437
Spain,47850793
Argentina,46003734
Afghanistan,45047069
Yemen,42961653
Canada,40467728
Angola,40215179
Ukraine,39535849
Morocco,38762441
Poland,37843188
Uzbekistan,37724223
Mozambique,36639851
Malaysia,36385115
Ghana,35697557
Saudi Arabia,35165787
Peru,34922148
Madagascar,33522052
C̫te d'Ivoire,33494346
Cameroon,30640817
Nepal,29629410
Niger,28814878
Venezuela,28633711
Australia,27227096
North Korea,26633691
Syria,26472497
Mali,25932275
Burkina Faso,24601700
Sri Lanka,23348315
Taiwan,23011292
Malawi,22785535
Zambia,22521915
Chad,21560380
Kazakhstan,21083626
Somalia,20305907
Chile,19945850
Senegal,19366548
Guatemala,18967978
Romania,18800605
Netherlands,18448775
Ecuador,18444506
Cambodia,18051219
Zimbabwe,17273580
Guinea,15441993
Benin,15170419
Rwanda,14889693
Burundi,14729157
Bolivia,12749291
South Sudan,12436037
Tunisia,12415138
Haiti,12037506
Belgium,11774642
Dominican Republic,11609500
Jordan,11589532
United Arab Emirates,11574682
Honduras,11184760
Tajikistan,10978599
Papua New Guinea,10947848
Cuba,10892659
Sweden,10701047
Czech Republic (Czechia),10527781
Azerbaijan,10454855
Portugal,10395362
Togo,9930918
Greece,9897115
Israel,9647689
Hungary,9585818
Austria,9107266
Switzerland,9007798
Sierra Leone,8996745
Belarus,8937018
Laos,7974017
Turkmenistan,7736632
Libya,7539851
Kyrgyzstan,7400465
Hong Kong,7378602
Nicaragua,7097329
Paraguay,7095279
Bulgaria,6667659
Serbia,6641964
Congo,6637785
El Salvador,6391253
Denmark,6023520
Singapore,5905748
Lebanon,5897467
Liberia,5853949
Central African Republic,5698984
State of Palestine,5692790
Oman,5671458
Norway,5652989
Finland,5621739
Mauritania,5461319
Slovakia,5451342
Ireland,5356950
New Zealand,5287479
Costa Rica,5174789
Kuwait,5102773
Panama,4625718
Croatia,3822345
Georgia,3804642
Eritrea,3682669
Mongolia,3556798
Uruguay,3382537
Puerto Rico,3222688
Qatar,3173559
Namibia,3153246
Bosnia and Herzegovina,3114242
Moldova,2961253
Armenia,2930915
Gambia,2884079
Jamaica,2833403
Lithuania,2797338
Albania,2751025
Gabon,2647399
Botswana,2603388
Lesotho,2389336
Guinea-Bissau,2297808
Slovenia,2114573
Equatorial Guinea,1984468
Latvia,1835935
North Macedonia,1804063
Bahrain,1675572
Trinidad and Tobago,1513268
Timor-Leste,1436923
Cyprus,1382334
Estonia,1331062
Eswatini,1269859
Mauritius,1265059
Djibouti,1199459
Fiji,937282
Comoros,899010
R̩union,886298
Solomon Islands,858288
Guyana,840890
Bhutan,802214
Macao,723188
Luxembourg,687448
Suriname,645256
Montenegro,626233
Western Sahara,610813
Malta,549011
Maldives,531517
Cabo Verde,529630
Brunei,469775
Belize,428644
Bahamas,404628
Iceland,402329
Guadeloupe,372453
Mayotte,347536
Vanuatu,342564
Martinique,337711
French Guiana,318872
New Caledonia,297892
French Polynesia,283076
Barbados,282724
Sao Tome & Principe,244994
Samoa,220528
Cura̤ao,185440
Saint Lucia,180488
Guam,170185
Kiribati,138445
Seychelles,134959
Grenada,117362
Micronesia,114183
Aruba,108164
Tonga,103291
St. Vincent & Grenadines,99245
Antigua and Barbuda,94626
Isle of Man,84055
Andorra,83753
U.S. Virgin Islands,83400
Cayman Islands,77196
Dominica,65511
Bermuda,64459
Faeroe Islands,56526
Greenland,55629
Turks and Caicos,47148
Saint Kitts & Nevis,46992
American Samoa,45319
Sint Maarten,44447
Northern Mariana Islands,42914
Gibraltar,40867
Liechtenstein,40368
British Virgin Islands,39936
Monaco,38087
Marshall Islands,35075
San Marino,33605
Caribbean Netherlands,31913
Saint Martin,23898
Palau,17614
Anguilla,14817
Cook Islands,12826
Nauru,12101
Saint Barthelemy,11550
Wallis & Futuna,11113
Tuvalu,9362
Saint Pierre & Miquelon,5513
Saint Helena,5147
Montserrat,4328
Falkland Islands,3465
Tokelau,2691
Niue,1822
Holy See,506
